idea_name,description,general_benefits,region,submitted_estimate,service_line,category,original,actual_benefits_wc,actual_benefits_savings,expert_overview,expert_ease_implementation,expert_scalability,expert_crowd_validation,expert_weighted_avg,judge_overview,judge_ease_implementation,judge_scalability,judge_crowd_validation,judge_weighted_avg,chatgpt_distruption_overview,chatgpt_ease_implementation,chatgpt_scalability,chatgpt_benefits,chatgpt_rationale,finalist,winner
Submission of customer creation forms (sold-to / ship-to) via Power Apps,"Current process is Sales Team filled in customer creation form via Excel and send email to CCO. CCO check and review before send to CCO TL + FC for approval via email. Once get approval, CCO to send to Master data (MDM) via email to create new customer code.?","Reduce time consuming.

?Trail of document is in place.",APAC,,GBS,,1,,,3,7,10,1,5,  ,  ,  ,  ,  ,2,5,4,2," This idea is not very disruptive as it involves the implementation of a new tool, but it does not change any existing processes. The ease of implementation is high as it only requires the creation of a new app. The geographical scalability is good as it can be applied globally. The benefits are mainly qualitative, including time savings, but it may not be applicable to all customers. ",0,0
Financial Galaxy,"As part of the monthly closing, the EEFF, both Balance Sheet and P&L, must be presented to the corporation at the LAO level, with comments on the most important and relevant variations, which must be managerial and for business reasons.

The consolidation of the Balance Sheet was manual and generated errors and reprocesses, it was difficult to monitor by person in charge and the pending items. In the last quarter of 2023, an APP was generated to consolidate comments by country, with ease of multiple access and even management from a cell phone. , which allows you to track comments by country and total LAO by responsible team. The information presented on the variation data by country includes more information (Current, previous, Organic and ATU) which facilitated the consolidation of the comments in a more efficient way by country and LAO of each CFR without losing information, facilitating the same for presentation at LAO level of the most significant variations.

Seeking to generate greater visibility in relation to this information for the local financial team, we seek to make a general consolidated presentation that includes not only the Balance sheet comments but also those of PYL that are easily accessible for the financial team and that contains information by country, region and total LAO.","120 hours saving
More control
Customer Satisfaction",LAO,,LAO,,1,,,5,1,5,3,3,  ,  ,  ,  ,  ,4,5,4,," This idea is disruptive as it replaces a manual process with an automated one, saving time and increasing control. It is easy to implement and can be scaled globally. The benefits include 120 hours saved, more control, and increased customer satisfaction. ",0,0
Kepler,"Opportunity: Take advantage of the resources generated by the DPSM tool to ensure that price changes made in different months are truly effective at the points of sale, by creating a dashboard in Power BI with which we can generate alerts in case the customers do not adjust their prices.

It is ensured that the pricing strategy analyzed for the change is effective in the market and that it impacts the direct customer for their benefit, in addition to respecting competitiveness between purchasing environments.","Strategic prices in the market.

Respect for competitiveness between purchasing environments.",LAO,,MTO-Pricing,,1,,,9,6,9,1,7,  ,  ,  ,  ,  ,3,4,4,, This idea is not as disruptive as the previous one but still offers strategic pricing in the market and respects competitiveness between purchasing environments. It is relatively easy to implement and can be scaled globally. ,0,0
OTC AI - Where Vision Meets Precision,"Strike while it is hot! The world has always envision that AI models would be the future where manual tasks are replaced and processes are automated and this is exactly what  OTC is planning to do. We envision to automate our core processes from Order Processing to Account Receivables, Collections and Claims Processing.  ???","First of all, from the perspective of productivity, a total of 10,600 hours are expected to be saved when the OTC team opt for machine learning models where the above processes are automated. 

??Some other benefits that we received by using machine learning would:- 

1. ?No human intervention required as with machine learning, we no longer need to babysit our project/initiatives every step of the way. Once the model is trained, it can autonomously make predictions or classifications without constant human oversight.

2. ?Continuous improvement as machine learning models can adapt and improve over time as they receive more data. This continuous learning allows them to stay up-to-date and enhance their accuracy.

?3. First-time right % will improve as manual interventions are involved and so, the errors will then be minimized. ?",APAC,7500000,Order to Cash,,1,,,1,1,1,4,2,  ,  ,  ,  ,  ,5,3,4,," This idea is highly disruptive as it aims to automate core processes from Order Processing to Account Receivables, Collections, and Claims Processing. It is not easy to implement, but the benefits are significant, including 10,600 hours saved, no human intervention required, continuous improvement, and improved accuracy. ",0,0
Creation Multi-Purpose Functions Intercompany SharePoint Site,"To create a ""one-stop"" with multi-purpose functions site that enables users to raise the intercompany request (ticketing system) and self-service the regular report or reference materials.

The ticketing system is to streamline the service recharge requisition process with reduction of the email intervention and effectively keep track of request record to improve the process lead time and governance. The user can also self-download the regular reports from the SharePoint once the report is ready and uploaded.

In a future phase, there is potential to eliminate the manual preparation and submission of ad hoc request forms, where the intercompany ad-hoc recharge data for the GIST production run will be automatically interfaced through the SharePoint ticketing system.

?

Structure for the multi-purpose function site:

- Ticketing system for request submission.

- Regular reports documentation.

- Reference & other materials on intercompany accounting processes.

- Auto interface the intercompany ad-hoc recharge data for GIST production run.","ï To centralize intercompany' s requests in the same portal.
ï Reduce email intervention and avoid email request send to individual mailbox.
ï Reduce the risk of email request overlooking.
ï Improve tracking system where manual update in excel file is no longer required.
ï Transform data into valuable information via the tracking system, improve turnaround time (i.e., SLA) for request received.
ï Improve the documentation and storage for intercompany report/policy/CFI/process change communication information.
ï Enable user to quick access and obtain the relevant materials.
ï Reduce the risk of knowledge gap for new K-C employees.
ï Improve time efficiency and accuracy by reducing the time spend and eliminating human error on manual preparation of ad-hoc request forms.",APAC,,GBS Intercompany,,1,,,8,2,7,3,5,  ,  ,  ,  ,  ,3,4,4,," This idea is not highly disruptive, but it centralizes intercompany requests in the same portal, reduces email intervention, improves tracking system, and enables users to quickly access relevant materials. It is relatively easy to implement and can be scaled globally. ",0,0
Financial Kaleidoscope: Shaping Tomorrowís Insights,"APAC Financial Reporting package is designed to provide dynamic, comprehensive and interactive business insights into an organization's financial data. This innovative solution transforms static financial reports into a multi-dimensional, visual representation of data. It allows users to explore various aspects of their finances by adjusting different parameters, much like turning a kaleidoscope. It empowers organizations to identify trends, spot anomalies and predict future scenarios with ease and precision for rapid and better decision making. This will serve as a financial kaleidoscope that makes complex financial analysis simpler, faster and more intuitive than ever before.","Dynamic financial reports provide a myriad of qualitative benefits that enhance business operations. These interactive reports allow for real-time data analysis, facilitating prompt and informed decision-making processes. They offer the flexibility to adjust parameters or time periods, enabling users to examine specific details without having to create multiple static reports. 
The visual representation feature in these dynamic reports aids in comprehending complex financial information more effortlessly, contributing towards efficient communication among stakeholders. It eliminates the necessity for extensive paperwork as all necessary data is consolidated into one easily accessible platform.
Additionally, dynamic financial reporting promotes accuracy as it reduces manual input and human error associated with traditional reporting methods. The system's capability to integrate various sources of data ensures consistency across different departments within an organization.
These modernized reports also enable trend analysis by offering historical insights and predictive analytics capabilities which can significantly contribute towards effective strategic planning and forecasting future financial scenarios.
Moreover, the automation features save substantial amounts of time and resources that could be allocated elsewhere for productivity enhancement purposes. This increased efficiency leads not only to cost savings but also faster growth rate opportunities.
In summary, dynamic financial reporting provides qualitative benefits such as improved decision making through real-time data access; enhanced communication via visual representation; increased accuracy due to reduced manual inputs; strategic planning support through trend analysis capability; resource optimization via automation features leading ultimately towards better business performance overall.",APAC,,GBS RTR Financial Reporting & Analysis,,1,,,7,3,7,10,6,  ,  ,  ,  ,  ,5,3,4,," This idea is highly disruptive as it transforms static financial reports into a multi-dimensional, visual representation of data, enabling organizations to identify trends, spot anomalies, and predict future scenarios with ease and precision. It is not easy to implement, but the benefits are significant, including real-time data analysis, improved decision-making, enhanced communication, increased accuracy, strategic planning support, and resource optimization. ",0,0
Receivables Quarterly Forecast & Plan in Anaplan,"Simplification of Receivables Quarterly Forecast process for KCP and KCC Europe. 

?Moving the working files from Excel to Anaplan with self-populating data for Actuals as well as base forecast calculation with the possibility to manually adjust one-time events. 

?Benefits: 

?- avoiding copy- paste errors

?- speeding up the process

?- simplification and standardization of the working file for all markets across Europe

?- AOC commentary done in Anaplan instead of email communication - better visibility for all stakeholders. ","?Less workload expected for Credit Risk Analysts, Team Leaders and OTC Manager for Europe. 

?More accuracy and standardized approach across all markets. 

?Visibility for all stakeholders with access to Anaplan. ",EMEA,,Credit & Collections,,1,,,5, -   ,5,4,3,  ,  ,  ,  ,  ,4,3,4,4," This idea proposes to simplify the Receivables Quarterly Forecast process for KCP and KCC Europe by moving the working files from Excel to Anaplan with self-populating data for Actuals as well as base forecast calculation with the possibility to manually adjust one-time events. It has the potential to avoid copy-paste errors, speed up the process, simplify and standardize the working file for all markets across Europe, and provide better visibility for all stakeholders. The idea scores high in Disruption Overview and Geographical Scalation as it is innovative and can be replicated globally. However, it scores lower in Ease of Implementation as it requires a new technology and scores 4 in Benefits as it has both quantitative and qualitative benefits. ",0,0
Lets Go Digital : Transforming Softex Transporters & Customers Experience,"Softex is looking for ways to accelerate invoicing its National Key Account customers. Currently this process is highly dependent on submission of hardcopy documents from Transporters and documents collection/exchange with Customers.

?Hence the team is trying to work on 2 ideas :

?1. Transporters to scan & email the required documents POD (Proof of Delivery) ?and other supporting documents first before sending the hardcopies. SLA will also be set with transporters for them to send in these documents. We're proposing to impose/charge penalties for delays as this will impact our tax invoice, but at the same time promotes the point that Transporters could actually enjoy much more timely payment experience with this change.

?2. Digitalize the invoice exchange process - GBS will send invoice and other supporting documents to customers through softcopies and the terms will start from that date.

?Ultimately the tea is also proposing for a Digital Portal to be set up which not only facilitate documents transfer but also enable further automation opportunities. With sush portal, Transporters can upload the POD & supporting documents which then interfaces directly with Softex IFS system, and with a built in 3 way matching, the invoice can also be seamlessly issued to the customers emails/portals.","Better experience for Transporters : Potentially Faster Payments for their services

?Better experience for Customers - invoice gets sends directly, no missing documents due to lost in transit!",APAC,7000000,GBS Softex,,1,,,8,2,3,2,4,  ,  ,  ,  ,  ,5,2,4,4," This idea proposes to accelerate invoicing its National Key Account customers by digitalizing the invoice exchange process and setting up a Digital Portal to facilitate documents transfer and enable further automation opportunities. It has the potential to provide a better experience for Transporters and Customers, potentially faster payments for their services, and no missing documents due to lost in transit. The idea scores high in Disruption Overview as it is highly innovative and can bring a significant change in the current process. However, it scores lower in Ease of Implementation as it requires a new technology and scores 4 in Geographical Scalation as it is country-specific. ",0,0
Overdue Statement Circualtion on Daily absis ,"?SOA circulation on day-to-day basis to Customers with due value (on date of circulation) which enables us to get the payments from customers before due date or prior due date.

?On daily basis, all receipt credit must have get offset with debit balances and whatever debit balances or due invoices are there should get reflect to customers in SOA for quick payments.",88 Manhours saving on monthly basis. ,APAC,,GBS Hub and Spokes,,1,,,2,5,5,3,4,  ,  ,  ,  ,  ,2,1,3,3," This idea proposes to circulate SOA on day-to-day basis to Customers with due value (on date of circulation) which enables us to get the payments from customers before due date or prior due date. It has the potential to save 88 Manhours on a monthly basis. The idea scores lower in Disruption Overview and Geographical Scalation as it is not highly innovative and is country-specific. However, it scores high in Ease of Implementation as it is a simple process. ",0,0
Scrap Sales Automation ,"ï Scrap Stock inwards through standard SAP Tcode called as MB1A, MB1B or MB1C and parked at Damage / Scrap location (SY) in SAP ( which enable to keep a track of Inventory movement)

ï Create a VA01 Order with Order type of ZSCR, and put the material code and qty In SY Location which is entered in system through MB1C or MB1A or MB1B and save order for generation.

ï Delivery creation ñ by using VL01N by entering the truck type for PGI.

ï Invoice Generation through a VF01.",Standardation of process,APAC,,GBS Hub and Spokes,,1,,,2,10,10,3,6,  ,  ,  ,  ,  ,3,2,3,2," This idea proposes to standardize the process of Scrap Sales Automation. It has the potential to bring standardization in the process. The idea scores lower in Disruption Overview and Benefits as it is not highly innovative and has no quantitative benefits. However, it scores 2 in Ease of Implementation as it is a simple process. ",0,0
Source at Lowest Price with Maximization of Economy of Scale!,"Based on our research on the top sourcing of main raw material, we identified that similar material type of raw material between APAC countries are having a huge range of price difference which resulted that KC do not beneficial from the economy of scale. One of our main material - pulps are having different pricing among the APAC countries which the price range can be vary more than 100% and lead to KC product pricing do not remain competitive in the market. Hence if we are able to source by bulk purchase and consolidating our vendor, KC are able to source at a lower price in term of economy of scale to being price competitive in market. By consolidating the vendor, we are able to hold a stronger bargain power by bulk purchasing and better control on the vendor management risk.","1) Centralize sourcing able to provide better control in sourcing
2) Reduce vendor management risk and to prevent fraud activities to arise.
3) Able to manage product quality among the production plant.
4) Ease the supply chain planning on sourcing VS production planning.",APAC,1800000,APAC GBS KL - Supply Chain Accounting,,1,,,10,9,8,2,8,  ,  ,  ,  ,  ,4,5,5,4, This idea has a high disruption score as it proposes a new way of sourcing raw materials. It also scores high on ease of implementation as it only requires consolidating vendors and bulk purchasing. It can be easily scaled globally and has both quantitative and qualitative benefits. ,0,0
Green Light Project,"The exchange differential is one critical process that consists in the reevaluation monthly of all monetary accounts in each society of LAO, previously this process did not consider all the monetary accounts; for this reason, we analyzed all the accounts and determinate which ones of this process needed to be considered.

In this analysis we found several accounts that if we start to re-evaluate right wow, the monetary impact in this process could affect the P&L of each entity, for this reason the first step was to contact the teams that had accounts without compensation and specially taxes' team decreasing from$184B to $6M in the exchange differential accounts.

Nowadays we use 14 different variants to execute this process, but with this project we are going to use only 2 variants for all the entities, standardizing the Exchange differential process and closing the gaps founded.

Besides to finish the improvement with this process, we created a Knime that helps in the download and unification of the data enabling that the process could be more efficient, and we could spend time analyzing variations.","144 annual hours saving
Standardizing the Exchange differential process
Focus the process on analyzing variations.
Update Account Clearing
Data Cleansing",LAO,,RTR,,1,,,6,6,5,8,6,  ,  ,  ,  ,  ,4,3,4,4," The project standardizes the Exchange differential process and closes the gaps founded, saving 144 annual hours and focusing the process on analyzing variations. The use of Knime helps in the download and unification of the data enabling that the process could be more efficient. ",0,0
Buzz,"Opportunity/problem:

Currently in the Caribbean there is no price monitoring in commerce that allows identifying opportunities for improvement, in the execution of price changes at the point of sale such as competitiveness vs. competition.

Backgrown of the project:

Performing manual calculations takes around 400 hours per year. Therefore, with automation, manual and error-prone work is eliminated with significant savings in hours invested in the process.

Description.

Due to the fact that there is no DPSM in the Caribbean, we have worked together with local RGM to create a database that includes all the countries and islands of the Caribbean, which allows generating a report in Power Bi to visualize price changes in the field and in turn detect opportunities for improvement. This tool will allow them to have an improvement in the decision-making based on price: KC vs competition.",Savings of 400 hours annually (Automation of calculations eliminates manual and error-prone work).,LAO,,Pricing,,1,,,4,3,1,1,3,  ,  ,  ,  ,  ,3,5,3,4," The automation of calculations eliminates manual and error-prone work, saving 400 hours annually. The tool allows for an improvement in decision-making based on price: KC vs competition. ",0,0
KAIZEN,"Opportunity/problem:

There are delays in the E2E process of creating codes through the EMMA tool, in which several KC areas contribute, the majority of which do not have any type of indicator to measure their part in the process. Therefore, establishing the E2E KPIs of the process and generating a report that is monitored represents an opportunity to improve the process that allows it to flow according to the established times.

Backgrown of the project:

The project began because detected that there were many delays in the process by different areas and due to situations, for which action plans were generated. However, another finding of the project was that for the most part none of the areas involved had established KPIs and therefore do not follow up on their respective parts within the process, so the need to create and unify them in a single PBI report was identified, that allows for continuous monitoring and detecting bottlenecks in the process and in this way being able to generate action plans to mitigate them and ensure that the process flows according to the established times.

Description:

During 2024, work has been done on the creation of KPIs for each of the areas involved in the E2E process of creating SAP codes through the EMMA tool, to later create a PBI dashboard that unifies all the KPIs and search for a space to give them the necessary follow-up. This project is expected to provide the areas involved in the process with the necessary input to monitor their response times and quality, allowing them to identify opportunities in the process and generate action plans so that the process flows according to the established times and thereby avoiding delays and reprocessing that prevent a SAP code from being ready on time.","Mitigate reprocessing to have 100% of price uploads in the system on time, thus maximizing the scope of 100% planned billings.",LAO,,Pricing,,1,,,5,6,3,1,4,  ,  ,  ,  ,  ,3,4,4,4," The creation of KPIs for each of the areas involved in the E2E process of creating SAP codes through the EMMA tool, to later create a PBI dashboard that unifies all the KPIs and search for a space to give them the necessary follow-up. This project is expected to provide the areas involved in the process with the necessary input to monitor their response times and quality, allowing them to identify opportunities in the process and generate action plans so that the process flows according to the established times and thereby avoiding delays and reprocessing that prevent a SAP code from being ready on time. ",0,0
Hubble Project,"During 2024, the hours invested in monitoring real income of monthly expenditure in the RTR process was 311 hours per year, distributed in 19 cases averaged by Analyst, which involved a reprocess of investigation, analysis, monitoring, sending queries, setting meetings among others, thus reflecting a lack of control, so we saw the opportunity for improvement, creating a metric on the KPI.","311 annual hours saving
Customer Experience
Better Controls ",LAO,,RTR,,1,,,2,6,6,4,4,  ,  ,  ,  ,  ,2,4,4,4," The creation of a metric on the KPI saves 311 annual hours, improves customer experience, and provides better controls. ",0,0
Automation in the air,"Automation is a key for cost saving and productivity. 

?Below options may help to improve existing processes:??

1) T&A options in Workday (at least to cover weekend work and overtime requests) and building of T&A integration for Celergo countries

2) Separate integration for terminations. Currently we send termination input manually for countries where we need to pay earlier than final payroll

3) Automation of payroll check by few steps: 1) standard allowances and OTP names 2) create a tool where will be match of names in WD vs Payroll register and this tool should be very flexible for making changes like proportion from payroll specialist side, and this tool should show all discrepancies

Please find details in the attachment.","Reducing payroll team time for collecting time & attendance information for Celergo countries (~150h per year)
Reducing payroll team time for collecting input for terminated EEs + for checking calculations (0,5h per each off-cycle termination)
Reducing payroll team time for payroll reconciliations at least to 50%
High accuracy of payroll",EMEA,,Payroll,,1,,,6,1,10,6,5,  ,  ,  ,  ,  ,3,3,3,4," The automation of payroll check, T&A options in Workday, and building of T&A integration for Celergo countries reduces payroll team time for collecting time & attendance information for Celergo countries, collecting input for terminated EEs, and payroll reconciliations. It also ensures high accuracy of payroll. ",0,0
Financial Starship UY Scuti,"?The purpose of the Reporting Package is to provide control and visibility to Financial Stakeholders on the most critical CFR of the Balance Sheet, which allows identifying risks and/or financial opportunities.

In this second phase of the project, we will focus on enhancing the efficiency of report preparation and standardization using ACL and PBI. This will allow the accounting team to conduct in-depth analyses for risk detection and mitigation, as well as provide visibility into relevant matters for financial statement stakeholders.

Additionally, we will create an additional dashboard with financial performance indicators for both the balance sheet and the income statement (P&L). These indicators will support Finance Managers in making informed decisions. By improving the report, we will continue strengthening partnerships with local finance teams and adding value to KC's business.","238 annual hours saving
Customer Experience",LAO,,RTR,,1,,,2,3,8,5,4,  ,  ,  ,  ,  ,4,3,4,5," This idea proposes to enhance the efficiency of report preparation and standardization using ACL and PBI, which will allow the accounting team to conduct in-depth analyses for risk detection and mitigation, as well as provide visibility into relevant matters for financial statement stakeholders. The idea is disruptive and can be implemented with moderate effort. It can be scaled globally, and it has both quantitative and qualitative benefits. ",0,0
Halley Project,"During the year 2023, in the preparation of the monthly reconciliations of HFM vs SAP of P&L and Balance sheet, it takes approximately 3H per reconciliation (in total there are 6 monthly reconciliations), which currently the tool we use may or may not run, which if it does not work makes us have to do the process completely manual, additionally in the preparation of the annual corporate certificates such as 1N1 / 1N2, they are executed completely manually, for the 17 LAO companies which in the preparation and submit of information lasts approximately 80 hours per year..","212 annual hours saving
Customer Experience",LAO,,RTR,,1,,,3,2,10,4,4,  ,  ,  ,  ,  ,3,2,3,4," This idea proposes to automate the monthly reconciliations of HFM vs SAP of P&L and Balance sheet, and the preparation of the annual corporate certificates such as 1N1 / 1N2. It is not very disruptive, but it is easy to implement. It can be scaled globally, and it has both quantitative and qualitative benefits. ",0,0
Improvement begins with I and CI,"We have different opportunities in the countries to improve the processes, save costs and reduce time for routine or not necessary actions, but sometimes... we just don't realize that! We may work according to previously agreed processes and follow historical approaches that are not relevant anymore.

There is one of the option how we can improve the processes. It would be great to organize regular meetings for Payroll team (or maybe for other teams too) for each region that need to be lead by CI team. It's opportunity for team to raise questions and find areas for improvements. Such meeting may start from sending questionnaire regarding areas for improvement and then brain storming and knowlendge sharing for small group with active CI team navigation. ","highlighting areas for improvements
finding new opportunities to reduce costs and implementing them.
unification of the processes
fast learning and good collaboration",EMEA,,Payroll,,1,,,5,9,5,6,6,  ,  ,  ,  ,  ,4,2,4,4," This idea proposes to organize regular meetings for the Payroll team in each region, led by the CI team, to identify areas for improvement and implement them. It is disruptive and easy to implement. It can be scaled globally, and it has both quantitative and qualitative benefits. ",0,0
Posting without crashing,"Currently we have issues with loading GL files to SAP. The idea is to organize reconciliation of GL codes for payroll items for the countries, then train team members to resolve specific GL issues and the most important part is:

- Build the tool from ADP side that may compare payroll register VS GL file and inform in case of mistakes (now it's chief accountant or finance team responsibility after GL file loading to SAP).

- Change loading tool possibilities (Mulesoft or other tools): it should provide opportunity to re-wrote previous GL posting if month is open. It should exclude duplications that currently exist in case of recalculations. 

?Please find details in the attachment.??","Timely and correct loading of Payroll GL posting.
Reducing payroll team time for negotiations in case of GL file mistakes (1h per each case)
Reducing finance team time by excluding of manual posting of GL or deleting duplicated amounts (0,5-1h per each case)",EMEA,,Payroll,,1,,,2,5,2,7,4,  ,  ,  ,  ,  ,3,3,3,4," This idea proposes to organize reconciliation of GL codes for payroll items for the countries, train team members to resolve specific GL issues, and build a tool from ADP side that may compare payroll register VS GL file and inform in case of mistakes. It is not very disruptive, but it is moderately easy to implement. It can be scaled globally, and it has both quantitative and qualitative benefits. ",0,0
ANZ ERS(Automated Invoice Posting) / RCTI Reconciliation,"GBS AP facing difficulties when perform vendor reconciliation for ANZ ERS/RCTI auto generated invoices and dependent on supply chain department to resolve any discrepancies.

Problems:

1. Require shipment number to perform reconciliation and AP need extra time to find out using different T.code.

2. Vendors provide mixture RCTI and non RCTI invoices in one SOA. 

3. Vendor SOA show different invoice number whereby our system shows 5 series auto generated invoice number.

?4. Unable to identify any overpaid risk, dependent on local supply chain to verify. ",hours saving on manual reconciliation - 480 hours per annum.,APAC,100000,GBS-STP AP,,1,,,5,6,10,1,5,  ,  ,  ,  ,  ,3,3,3,4," This idea proposes to automate the vendor reconciliation for ANZ ERS/RCTI auto-generated invoices and eliminate the need for extra time to find shipment numbers and verify overpaid risks. It is not very disruptive, but it is moderately easy to implement. It can be scaled globally, and it has both quantitative and qualitative benefits. ",0,0
$$ Treasure Hunt $$,"Helping our Treasury team identify transactions and refunds is crucial. While all departments in KC spend money, not everyone may understand how these transactions are managed or posted.
?
KC receives daily refunds, but identifying their rightful owners can be challenging for the Treasury Team. Implementing a streamlined process where teams expecting refunds proactively notify Treasury of incoming refunds would simplify their role and ensure accurate allocation of payments to the appropriate teams. Additionally, this approach will help minimize any payroll delays by providing proof of refunds before proceeding with subsequent steps.
?","Identify the correct owner of refund.
Simpler and faster process for posting team.
Avoid delays in payroll next steps.",GLOBAL ,,GBS,,1,,,2,10,10,4,6,  ,  ,  ,  ,  ,4,3,3,4," The idea proposes a streamlined process for the Treasury team to identify transactions and refunds, which would simplify their role and ensure accurate allocation of payments to the appropriate teams. It also helps minimize any payroll delays by providing proof of refunds before proceeding with subsequent steps. ",0,0
SharePlus - easier payout,"SharePlus - easier payout

?Currently, in the Czech Republic, every 14 days HR Ops downloads the Batch report from ComputerShare web site to see what employees sold their Shares and what was the amount (provided in USD). Then a Manual Payment Request is created by HR Ops and then approved so it can be paid out by AP.

?What if the Batch Reports were downloaded by Alight once a month, converted into local currency based on the exchange rate provided by either GBS or the National bank. Then the amounts would be uploaded either individually or by Mass upload into Workday and then it would flow in the payroll systems by integration.

?The money for sold Shares would be paid along with payroll on regular scheduled playdate.","process automatization 
?decreasing manual workload
?Record visibility in Workday
?united process for more countries
?better overview of the benefit
?possible further integration for taxation (might be applicable only in some countries)",EMEA,,Payroll,,1,,,2,4,10,3,4,  ,  ,  ,  ,  ,3,4,4,4," The idea proposes to automate the process of downloading batch reports, converting them into local currency, and uploading them into Workday, which would decrease manual workload and provide record visibility in Workday. It also offers a united process for more countries and a better overview of the benefit. ",0,0
"LTI - Workday, here it goes!","Sometimes it might feel that the LTI payout process is a bit... confusing. ;) 
?
?Currently, for the non-mobile EEs payroll gets reports via email. Which means that the Comp&Ben team must be aware of any personal changes that might happen in the payroll team. The report is in USD, so the payroll team needs to convert it into local currency first. The report contains gross LTI bonus and Withheld tax. So the following step for payroll team is to count the amount that was already paid to the EE. The employee then sees the LTI only in the pay slip, it cannot be checked anywhere else because the report is available only to payroll. 
?
?What if Comp&Ben team instead of sendting the report via email to payroll, would create a request for the LTI bonus and the amount that was already paid out were both put into Workday in local currency? So the EE could check the amount in WD and see the same amount in the pay slip. So Comp&Ben team would't have to track whom to send the report. 
?
?As for the mobile EEs, payroll gets notification if there is any update in the EquityService provided by EY. In that case payroll signs in the system, downloads the report. For most cases the data in it are non-payroll related. The report is then meant for the Finance team. So the payroll team needs to delete the names of the EEs and provide the report to the fianance tam. 
?
?What if EquityReport provided the report for non-payroll related updates directly to the Finance team so Payroll wouldn't have to be a middle man? ","?automation 
?visibility in Workday
?integration
?less workload
?united process 
?saving time ",EMEA,,Payroll,,1,,,5,6,10,3,6,  ,  ,  ,  ,  ,3,4,4,4," The idea proposes to create a request for the LTI bonus and the amount that was already paid out, which would be put into Workday in local currency. This would provide automation, visibility in Workday, integration, less workload, a united process, and save time. ",0,0
I'm Groot,"Since November 2023, it was identified that the K2 tool (Employee Deposits) stopped working since it does not allow the creation of forms with the required information. Provoking approximately 40 monthly queries managed through emails by the teams involved (Assets, Concur and user), which in turn has created a significant amount of rework by having to follow up on the requests received and the investigation of items. of which no notification is received and determine the reason for the deposit.","Better Control
Customer Experience
SLA to answer and completed the requested most accurate. ",LAO,,RTR,,1,,,2,6,5,6,5,  ,  ,  ,  ,  ,2,3,3,3," The idea proposes to fix the K2 tool to allow the creation of forms with the required information, which would lead to better control, customer experience, and an SLA to answer and complete the requested most accurately. ",0,0
New Employees Leaving K-C? Hiring Incentive Collection,"Uncollected, unearned hiring incentives ?are costing the organization significant amounts of money. Creating process controls of verifying employment data during the offboarding process will ensure hiring incentives' terms and conditions were met. Therefore, allowing the opportunity to recoup monies paid, if applicable. ","Reinforcing Kimberly - Clark's reputation of high standards, as well as being an employer that is thorough and cognizant of hiring incentives and their terms?.",NA,103122.23,Payroll Operations USA & Canada,,1,,,2,6,10,2,5,  ,  ,  ,  ,  ,2,3,3,3," The idea proposes to create process controls of verifying employment data during the offboarding process to ensure hiring incentives' terms and conditions were met, which would reinforce Kimberly-Clark's reputation of high standards and being an employer that is thorough and cognizant of hiring incentives and their terms. ",0,0
Honduras Automation Invoices Download,"In Honduras the process of buying dollars is done manually by bidding in auctions with banks such as Citibank and BAC, in order to make the bidding you need supports of which the invoices of intercomany payments are used, the problem is that to obtain these invoices you must enter 1 to 1 from SAP and download them manually. This process is daily","It is expected to automate the process, saving more than 300 hours per year.",LAO,,LAO Treasury,,1,,,2,7,2,0,3,  ,  ,  ,  ,  ,4,3,2,4," This idea is disruptive as it automates a manual process, but it may not be easy to implement due to the need to integrate with SAP. It may also not be easily scalable to other geographies. However, the benefits are significant in terms of time savings and potential cost savings. ",0,0
"
Transformation of Non PO to PO Invoice Posting (Freight Expedition )","Softex Indonesia is looking for ways to accelerate AP Invoice Processing for Expedition. Currently this process is uses non-PO process that requires additional manual steps by the AP team to process the invoice.

In addition, not only focusing for compliance perspective to using PO for Expedition, but we also prioritize on simplifying and improving invoice processing.

Therefore, we are working on two action plans, proposing to improve the system as follows:

1. Generate Auto PO for regular /standard charges.

2. Generate PO Blanket for additional charges.",Estimation FTE Save: 1.07 FTE,,75000,STP Team (Softex),,1,,,2,2,10,1,3,  ,  ,  ,  ,  ,3,4,3,3," This idea is somewhat disruptive as it proposes a change in the process, but it may be easier to implement as it builds on existing systems. It may also be replicable in other geographies. The benefits are moderate in terms of FTE savings and cost savings. ",0,0
Challenge_Pegaso_Surveys and Audit,"For 2023 the process of managing and monitoring surveys requests and report are very manual with a large investment of time (200 hours), it is expected to seek automation opportunities through a dynamic tool and standardized the process for all LAO companies. We have more volume of work for the quarter and annual surveys and required a lot of information from different departments (Cost, operations, Property, IT, Local), 50% of the time invested its reprocess or wrong data."," 200 annual hours saving
customer experience
better controls",LAO,,RTR,,1,,,3,6,8,4,5,  ,  ,  ,  ,  ,4,3,3,4," The idea proposes a more efficient and standardized process for managing and monitoring surveys, which can lead to significant time savings and better controls. While it may not be entirely disruptive, it does offer an upgraded way of doing things. The ease of implementation is moderate, as it requires a dynamic tool and coordination among different departments. The idea is applicable to LAO companies, which limits its geographical scalability. The benefits are both quantitative and qualitative, with an estimated 200 annual hours saving and improved customer experience and controls. ",0,0
